# distance=3 rounds=3 p=0.00001 shots=1383249 seed=42
# shot	predicted	observed	faults (site_uid:outcome_index:label)
13375	0	1	136:1:X
27497	0	1	136:1:X
64786	0	1	20:11:YZ
84830	0	1	22:11:YZ
92974	0	1	20:8:YI
103967	0	1	136:1:X
114001	0	1	136:1:X
124494	0	1	136:1:X
132679	0	1	60:10:YY
150501	0	1	20:4:XI
157338	0	1	137:1:X
162245	0	1	137:1:X
167118	0	1	60:10:YY
178468	1	0	74:11:YZ
182505	0	1	136:1:X
196614	0	1	137:1:X
243276	0	1	72:13:ZX
247041	0	1	100:4:XI
249314	0	1	115:11:YZ
258607	0	1	20:11:YZ
283025	0	1	136:1:X
283502	0	1	20:8:YI
304615	0	1	60:5:XX
305001	0	1	102:4:XI
313896	0	1	137:1:X
314781	0	1	137:1:X
325895	0	1	32:4:XI
333807	0	1	136:1:X
347024	0	1	136:1:X
350262	0	1	136:1:X
373314	0	1	136:1:X
382847	0	1	136:1:X
392733	0	1	72:13:ZX
399565	0	1	100:11:YZ
407224	0	1	60:5:XX
411494	0	1	115:4:XI
413726	0	1	112:1:IX
428621	0	1	100:11:YZ
440039	0	1	100:10:YY
454460	0	1	137:1:X
496749	0	1	136:1:X
550552	0	1	32:1:IX
578277	0	1	20:7:XZ
582258	0	1	137:1:X
592818	0	1	137:1:X
659917	0	1	37:10:YY
688161	0	1	75:11:YZ
699332	0	1	20:11:YZ
714519	0	1	118:6:XY
751050	0	1	77:5:XX
797687	0	1	102:5:XX
821935	0	1	38:5:XX
848154	0	1	115:8:YI
851698	0	1	38:14:ZY
852769	0	1	22:7:XZ
858984	0	1	112:2:IY
871739	0	1	78:1:IX
894263	0	1	38:5:XX
906540	0	1	60:5:XX
907600	0	1	20:7:XZ
911552	0	1	136:1:X
917523	0	1	136:1:X
922786	0	1	137:1:X
926722	0	1	77:5:XX
929047	0	1	37:5:XX
931362	0	1	136:1:X
932238	0	1	112:1:IX
951041	0	1	60:5:XX
957587	0	1	137:1:X
960792	0	1	75:7:XZ
980325	0	1	22:11:YZ
994018	0	1	118:5:XX
1010338	0	1	20:7:XZ
1018968	0	1	100:11:YZ
1020926	0	1	137:1:X
1031405	0	1	20:11:YZ
1051642	0	1	137:1:X
1067658	0	1	22:7:XZ
1085866	0	1	102:5:XX
1089187	0	1	32:1:IX
1092292	0	1	75:13:ZX
1093588	0	1	37:10:YY
1106090	0	1	75:1:IX
1111265	0	1	78:1:IX
1116095	0	1	137:1:X
1116262	0	1	137:1:X
1116741	0	1	118:5:XX
1119693	0	1	136:1:X
1119897	0	1	78:1:IX
1124465	0	1	115:11:YZ
1164288	0	1	78:13:ZX
1197285	0	1	78:1:IX
1210852	0	1	136:1:X
1211832	0	1	137:1:X
1250612	0	1	137:1:X
1265172	0	1	72:1:IX
1265354	0	1	20:7:XZ
1276641	0	1	137:1:X
1287173	0	1	78:13:ZX
1332321	0	1	20:4:XI
1340534	0	1	136:1:X
1346117	1	0	74:11:YZ
1362680	0	1	77:9:YX
1365814	0	1	112:2:IY
1369574	0	1	136:1:X
1379929	0	1	115:8:YI
1381410	0	1	115:4:XI
